防疫类,通知类,科普类,福利类,内容标题,发表时间,总阅读人数,总阅读次数,总分享人数,总分享次数,阅读后关注人数,送达人数,公众号消息阅读次数,送达阅读率,首次分享次数,分享产生阅读次数,首次分享率,每次分享带来阅读次数,阅读完成率,内容url
1,1,0,0,【周知】@水都、建中、六江道居民群众，金山街道居民健康信息，请您填报！,20221103,3587,5165,111,142,17,2325,510,0.2194,22,3888,0.0431,27.3803,0.5693,http://mp.weixin.qq.com/s?__biz=MzkzODM4NzcxNQ==&mid=2247483897&idx=1&sn=86c7b9f07f2b2df2330a28ded5d88c84&chksm=c281b195f5f638830ad293a04788a40032aab012fd200a90cc1d7d9aa70cb998d3c560051963#rd
1,1,0,0,一键导航！仓山区“核酸采样点位图”上线啦！,20221103,2074,2485,87,110,28,2325,199,0.0856,6,1973,0.0302,17.9364,0.2413,http://mp.weixin.qq.com/s?__biz=MzkzODM4NzcxNQ==&mid=2247483897&idx=2&sn=154280523becd06450ef84778a3740f9&chksm=c281b195f5f6388325cdaabc3a680008379a9758538eaaafaa7f8dc9a2e78b84521120eeaaa9#rd
1,1,0,0,金山街道关于开展第三次核酸检测演练的通告,20221025,2231,2744,99,111,14,1819,319,0.1754,25,2159,0.0784,19.4505,0.0991,http://mp.weixin.qq.com/s?__biz=MzkzODM4NzcxNQ==&mid=2247483850&idx=1&sn=f89372e5f4297d3bdcb2db36f83bde9b&chksm=c281b1a6f5f638b034a55c046d52ad018b956fef7a7d4768d1d3f21081783cec13bae41851b9#rd
1,1,0,0,仓山区新型冠状病毒感染肺炎疫情防控工作应急指挥部通告（2022年第33号）,20221025,310,361,6,7,1,1819,73,0.0401,2,196,0.0274,28,0.2774,http://mp.weixin.qq.com/s?__biz=MzkzODM4NzcxNQ==&mid=2247483850&idx=2&sn=5dabfd97c59c8dfc6d57fd7f7852744d&chksm=c281b1a6f5f638b05377a48a14b89c9cb1e1209e9f4c141de69e3af52159335fd2913ab30a39#rd
1,1,0,0,金山街道居民生活物资采购渠道告知书,20221025,205,225,3,3,1,1819,125,0.0687,3,6,0.024,2,0.8218,http://mp.weixin.qq.com/s?__biz=MzkzODM4NzcxNQ==&mid=2247483850&idx=3&sn=52fad22d4bae50c4296a8794e29b26de&chksm=c281b1a6f5f638b00cda7f45a1ab4656303c46826390b0440c845939a05d93af8512ef03dcd7#rd
1,1,0,0,金山街道关于开展第二次核酸检测演练的通告,20221024,12218,17159,714,910,82,1524,348,0.2283,57,16578,0.1638,18.2176,0.1106,http://mp.weixin.qq.com/s?__biz=MzkzODM4NzcxNQ==&mid=2247483820&idx=1&sn=bdaddd4741a62395a17f880661c1712c&chksm=c281b1c0f5f638d687e29ae5e98da613315d24e003097a661ad94a06923a137fdb2250b55850#rd
1,1,0,0,仓山区新型冠状病毒感染肺炎疫情防控工作应急指挥部通告（2022年第31号）,20221024,274,320,12,12,0,1524,92,0.0604,6,173,0.0652,14.4167,0.4745,http://mp.weixin.qq.com/s?__biz=MzkzODM4NzcxNQ==&mid=2247483820&idx=2&sn=dda0a10e869702567bf6900a9a529081&chksm=c281b1c0f5f638d652a2d847d4c9eb9cbd6303a9dbf30dee4d0e7da125b617910001bee6bf17#rd
0,1,0,0,【你呼我应】你有所呼，我有所应,20221024,168,213,8,9,1,1524,47,0.0308,4,131,0.0851,14.5556,0.256,http://mp.weixin.qq.com/s?__biz=MzkzODM4NzcxNQ==&mid=2247483820&idx=3&sn=4ee7b0fab04f56d18ef754690bac9fbd&chksm=c281b1c0f5f638d6567ebf1f626f481d38ae2480f2e617f7ae4dbf9ac4e97c275feba38ebc6f#rd
1,1,0,0,金山街道关于开展核酸检测演练的通告,20221023,2223,3077,112,140,20,1499,323,0.2155,32,2656,0.0991,18.9714,0.1499,http://mp.weixin.qq.com/s?__biz=MzkzODM4NzcxNQ==&mid=2247483796&idx=1&sn=e010e83f15ef1a737050ebae0c543afb&chksm=c281b1f8f5f638eee24b9d50951382f2de7f90fd2d014f48ae9cf58b7ef1fb8e4afae5921356#rd
1,1,0,0,速看！转发！福州最新核酸采样点位,20221023,1572,2053,96,121,1,1499,334,0.2228,36,1667,0.1078,13.7769,0.089,http://mp.weixin.qq.com/s?__biz=MzkzODM4NzcxNQ==&mid=2247483790&idx=1&sn=53db980ebb4afb0e836b1c7dcce20dd2&chksm=c281b1e2f5f638f407a4b1af7a133dbdb873490f82eae7a1a3029b8e127ea479f7c477c29d27#rd
